Drug,Gene_Count,Genes,Gene_Sources,Drug_Sources
ROLAPITANT,13,"ABL1, ADRB2, AURKA, C3AR1, C5AR1, CDK2, FGFR3, FPR2, GSK3B, MAPK1, S1PR1, TACR1, TRIM24",CT,"ChEMBL, DrugBank, DrugCentral, GtoPdb, TTD"
SELENOMETHIONINE,13,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, EHMT2, ESR1, HDAC6, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
SERTACONAZOLE,13,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, GABRG2, HDAC6, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
SITAXENTAN,13,"ACHE, ADORA1, AR, CHRM1, CHRM2, DRD1, DRD3, EDNRB, ESR1, HTR1A, HTR2B, HTT, PGR",CT,"ChEMBL, DrugBank, DrugCentral"
SPIRAPRIL,13,"ACE, ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, GABRG2, HTR1A, HTR2B, HTT, PGR","CT, DCE_KEGG","ChEMBL, DrugBank, DrugCentral, GtoPdb"
SUCCIMER,13,"ACHE, ADORA1, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HDAC6, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
SULFACARBAMIDE,13,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, GABRG2, HDAC6, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
SUXAMETHONIUM,13,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, EHMT2, ESR1, GABRG2, HTR1A, HTR2B, HTT, PGR",CT,"ChEMBL, DrugCentral"
TAFENOQUINE,13,"ACHE, ADORA1, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HDAC6, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
TAFLUPROST,13,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, GABRG2, HTR1A, HTR2B, HTT, PGR, PTGFR",CT,"ChEMBL, DrugBank, DrugCentral, GtoPdb, TTD"
terguride,13,"ADRA1D, ADRA2B, ADRA2C, ADRB2, DRD1, DRD3, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2B, HTR2C",CT,"DrugCentral, GtoPdb"
TERTATOLOL,13,"ACHE, ADRB2, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, GABRG2, HTR1A, HTR2B, HTT, PGR",CT,"ChEMBL, DrugBank, DrugCentral, TTD"
TIAGABINE,13,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, GABRG2, HDAC6, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
TRANYLCYPROMINE,13,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, GABRG2, HTR1A, HTR2B, HTR2C, HTT, PGR",CT,"ChEMBL, DrugCentral"
TRIDIHEXETHYL,13,"ACHE, AR, CHRM1, CHRM2, CHRM5, DRD1, DRD3, ESR1, GABRG2, HTR1A, HTR2B, HTT, PGR",CT,"ChEMBL, DrugBank, DrugCentral, TTD"
ULIPRISTAL ACETATE,13,"ACHE, ADORA1, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HDAC6, HTR1A, HTR2B, HTT, PGR",CT,"ChEMBL, GtoPdb"
VERAPAMIL HYDROCHLORIDE,13,"EHMT2, GMNN, HDAC6, KPNB1, LMNA, MEN1, MPHOSPH8, PPARD, PPARG, RAN, RXRA, SMN1, VDR",CT,ChEMBL
VERNAKALANT,13,"ACHE, ADORA1, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HDAC6, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
VITAMIN A PALMITATE,13,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, GABRG2, GNAS, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
xanomeline,13,"CHRM1, CHRM2, CHRM4, CHRM5, DRD3, HTR1A, HTR1B, HTR1D, HTR1F, HTR2B, HTR2C, HTR6, HTR7",CT,"DrugBank, DrugCentral, GtoPdb"
ADAGRASIB,12,"ABL1, AURKA, CDK2, CDK7, FGFR3, GSK3B, KRAS, MAPK1, MNAT1, SOS1, TRIM24, VHL",CT,"ChEMBL, DrugBank, GtoPdb, TTD"
ALFUZOSIN HYDROCHLORIDE,12,"ABL1, ADRB2, AURKA, C5AR1, CDK2, FGFR3, FPR2, GSK3B, HDAC6, MAPK1, S1PR1, TRIM24",CT,ChEMBL
ALLYLESTRENOL,12,"ACHE, ADORA1, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HTR1A, HTR2B, HTT, PGR",CT,"ChEMBL, DrugBank"
ARGININE HYDROCHLORIDE,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, GABRG2, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
Arsenic trioxide,12,"AKT1, CDKN1A, HDAC1, IKBKB, JUN, LMNA, MAPK1, MAPK3, PML, RARA, TP53, YWHAH","CT, CT;DCE_KEGG","ChEMBL, DrugBank, TTD"
ARTEMISININ,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, GABRG2, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
benzethonium,12,"ACHE, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM4, CHRM5, ERBB2, FYN, HTR2C, KISS1R, TACR2",CT,DrugCentral
BENZYDAMINE,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, GABRG2, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
BEPOTASTINE,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HDAC6, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
BISOPROLOL FUMARATE,12,"CHRM1, EHMT2, GMNN, HAP1, HDAC6, KPNB1, LMNA, MAPK1, MEN1, NFKB1, RAN, THRB",CT,ChEMBL
BIVALIRUDIN,12,"ACHE, ADORA1, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
BMS-536924,12,"AKT1, CCNE1, CDK2, ERBB2, IGF1R, INSR, LCK, MAPK1, MET, PDGFRA, PDGFRB, PTK2",CT,"GtoPdb, TTD"
CANAGLIFLOZIN ANHYDROUS,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HDAC6, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
CASPOFUNGIN,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HTR1A, HTR2B, HTT, PGR, SLC22A1",CT,ChEMBL
CEPHALOGLYCIN,12,"ACHE, ADORA1, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
CLINDAMYCIN PHOSPHATE,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HDAC6, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
DEBRISOQUIN,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, GABRG2, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
DEXAMETHASONE PHOSPHORIC ACID,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, GABRG2, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
DEXPANTHENOL,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, GABRG2, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
DEXRAZOXANE,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HDAC6, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
DIETHYLCARBAMAZINE,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, GABRG2, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
DIHYDROSTREPTOMYCIN,12,"ACHE, ADORA1, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
DITHIAZANINE IODIDE,12,"CBFB, CTNNB1, DDIT3, EHMT2, HAP1, HTT, LMNA, MEN1, RAB9A, RUNX1, SMN1, THRB",CT,ChEMBL
EMPAGLIFLOZIN,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HDAC6, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
ENTECAVIR ANHYDROUS,12,"ACHE, ADORA1, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
FEBUXOSTAT,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HDAC6, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
FRUCTOSE,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, GABRG2, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
FURSULTIAMINE,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HDAC6, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
FUSIDIC ACID,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, GABRG2, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
HEXAFLUORENIUM,12,"ACHE, ADORA1, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
HEXYLRESORCINOL,12,"AR, ESR1, GMNN, HAP1, HDAC6, HTT, MEN1, NFE2L2, TGM2, TOP1, TP53, VDR","CT, CT;DCE_KEGG","ChEMBL, DrugBank"
IOXAGLIC ACID,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HDAC6, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
IPRAGLIFLOZIN,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HDAC6, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
ISOFLUROPHATE,12,"ACHE, ADORA1, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HTR1A, HTR2B, HTT, PGR",CT,"ChEMBL, DrugBank, TTD"
IVABRADINE,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HDAC6, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
LEVAMLODIPINE,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, GABRG2, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
LEVOBETAXOLOL,12,"ACHE, ADRB2, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HTR1A, HTR2B, HTT, PGR",CT,"ChEMBL, DrugCentral"
LOMITAPIDE,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HDAC6, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
LORACARBEF ANHYDROUS,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HDAC6, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
MAPROTILINE HYDROCHLORIDE,12,"EHMT2, GC, GMNN, HDAC6, HTT, LMNA, MAPK1, MEN1, PLK1, SMAD3, SMN1, TP53","CT, CT;DCE_KEGG",ChEMBL
MEPHENESIN,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HDAC6, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
MEPTAZINOL,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HTR1A, HTR2B, HTT, PGR, SLC22A1",CT,"ChEMBL, DrugCentral"
METHICILLIN,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, GABRG2, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
Methotrimeprazine,12,"ADRA1D, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM4, CHRM5, DRD1, DRD3, DRD4, DRD5, HTR2C",CT,DrugBank
METHYLHOMATROPINE,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, GABRG2, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
MIRABEGRON,12,"ABL1, ADRB2, AURKA, C5AR1, CDK2, FGFR3, FPR2, GSK3B, HDAC6, MAPK1, S1PR1, TRIM24",CT,"ChEMBL, GtoPdb"
MOXALACTAM,12,"ACHE, ADORA1, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
MUZOLIMINE,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, GABRG2, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
NAFCILLIN,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, GABRG2, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
NIKETHAMIDE,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, GABRG2, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
OXACILLIN,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, GABRG2, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
OXYPHENISATINE,12,"ACHE, ADORA1, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
PENICILLIN V,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, GABRG2, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
PERHEXILINE MALEATE,12,"GMNN, HDAC6, HTT, LMNA, MEN1, MITF, NFE2L2, SMAD3, SMN1, SNCA, TP53, VDR","CT, CT;DCE_KEGG",ChEMBL
pipamperone,12,"ADRA2B, ADRA2C, ADRB2, DRD1, DRD3, DRD4, HTR1A, HTR1B, HTR1D, HTR1F, HTR2B, HTR2C",CT,"DrugBank, DrugCentral, GtoPdb"
PROMETHAZINE HYDROCHLORIDE,12,"EHMT2, GMNN, HAP1, HDAC6, HIF1A, LMNA, MAPK1, MPHOSPH8, NFKB1, PPARD, PPARG, SMN1","CT, CT;DCE_KEGG",ChEMBL
PYRITHIONE,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, GABRG2, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
SOFOSBUVIR,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, GABRG2, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
TERAZOSIN HYDROCHLORIDE,12,"ABL1, ADRB2, AURKA, C5AR1, CDK2, FGFR3, FPR2, GSK3B, HDAC6, MAPK1, S1PR1, TRIM24",CT,ChEMBL
THIORIDAZINE HYDROCHLORIDE,12,"CBFB, EHMT2, GMNN, HDAC6, LMNA, MAPK1, MEN1, MPHOSPH8, RUNX1, SMAD3, SMN1, TP53","CT, CT;DCE_KEGG",ChEMBL
TICARCILLIN,12,"ACHE, ADORA1, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
TIZANIDINE HYDROCHLORIDE,12,"ABL1, ADRB2, AURKA, C5AR1, CDK2, FGFR3, FPR2, GMNN, GSK3B, MAPK1, S1PR1, TRIM24",CT,ChEMBL
URIDINE TRIACETATE,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HDAC6, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
XIPAMIDE,12,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, GABRG2, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
"4-[(3,5-diamino-1H-pyrazol-4-yl)diazenyl]phenol",11,"ABL1, AKT1, CCNE1, CDK2, CDK4, CDK9, CSNK2A1, GSK3B, MAPK1, MAPK14, PRKACA",CT,TTD
A-987306,11,"ADORA1, CCR1, CHRM1, CHRM2, CHRM4, DRD3, HTR1A, HTR1B, HTR2B, HTR3A, TACR2",CT,TTD
ALCLOFENAC,11,"ACHE, AR, CHRM1, CHRM2, DRD1, ESR1, HDAC6, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
Bisindolylmaleimide-I,11,"AKT1, CCNB1, GSK3B, LCK, MAPK1, MAPK11, MAPK14, MAPK8, PRKCD, PRKCE, PRKCZ",CT,TTD
BROMODIPHENHYDRAMINE,11,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
CALCIUM DOBESILATE,11,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
CEFSULODIN,11,"ACP1, EHMT2, HDAC6, PIN1, PTPN11, PTPN6, PTPRB, PTPRF, PTPRG, PTPRM, VDR",CT,"ChEMBL, DrugCentral"
CEFSULODIN SODIUM,11,"EHMT2, GMNN, GNAS, HAP1, KPNB1, LMNA, PIN1, PLK1, RAN, SMPD1, SNCA",CT,ChEMBL
CI-1040,11,"AKT1, GSK3B, LCK, MAP2K1, MAP3K2, MAPK1, MAPK11, MAPK14, MAPK8, PRKACA, PRKCA",CT,"DrugBank, GtoPdb, TTD"
DAPIPRAZOLE HYDROCHLORIDE,11,"ABL1, ADRB2, AURKA, C5AR1, CDK2, FGFR3, FPR2, GSK3B, MAPK1, S1PR1, TRIM24",CT,ChEMBL
DDR1/2 inhibitor 5n,11,"ABL1, DDR2, EPHA2, EPHA7, EPHA8, EPHB2, LCK, NTRK1, NTRK2, NTRK3, TEK",CT,GtoPdb
DESVENLAFAXINE,11,"ACHE, AR, CHRM1, CHRM2, DRD1, ESR1, HDAC6, HTR1A, HTR2B, HTT, PGR",CT,"ChEMBL, DrugBank"
DEXTROAMPHETAMINE,11,"GRIN2D, HTR1A, HTR1B, HTR1D, HTR1F, HTR2B, HTR2C, HTR3A, HTR6, HTR7, HTT",CT,ChEMBL
dihydroergocristine,11,"ADRA1D, ADRA2B, ADRA2C, DRD1, DRD3, HTR1A, HTR1B, HTR1D, HTR2B, HTR2C, HTR6",CT,"DrugBank, DrugCentral, TTD"
DOXAZOSIN MESYLATE,11,"CBFB, EHMT2, GC, GMNN, HAP1, HDAC6, HLA-A, LMNA, MEN1, RUNX1, SMPD1",CT,ChEMBL
ECHOTHIOPHATE,11,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HTR1A, HTR2B, HTT, PGR",CT,"ChEMBL, DrugBank, DrugCentral, GtoPdb"
HEXETIDINE,11,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
HYDROXYZINE HYDROCHLORIDE,11,"ABL1, ADRB2, AURKA, C5AR1, CDK2, FGFR3, FPR2, GSK3B, MAPK1, S1PR1, TRIM24",CT,ChEMBL
ISAXONINE,11,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
lysergide,11,"ADRB2, DRD1, DRD3, DRD4, DRD5, HTR1A, HTR1D, HTR2B, HTR2C, HTR6, HTR7",CT,"DrugCentral, GtoPdb"
MENADIOL SODIUM DIPHOSPHATE,11,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
mepacrine,11,"ACHE, ADRA1D, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM4, CHRM5, DRD3, HRH2, PRNP",CT,DrugCentral
METILDIGOXIN,11,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
MICAFUNGIN,11,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
MIFAMURTIDE ACID,11,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
Myristic acid,11,"ABL1, CALM1, CALM2, CALM3, FFAR1, FKBP1A, HNF4A, INS, NCOA1, PPARA, PVR",CT,"DrugBank, GtoPdb, TTD"
pecazine,11,"ADRA1D, ADRA2B, CHRM1, CHRM2, CHRM4, CHRM5, DRD3, HTR2B, HTR2C, HTR6, SIGMAR1",CT,DrugCentral
Resveratrol,11,"AKT1, APP, CSNK2A1, ESR1, KHSRP, MTNR1A, MTNR1B, PPARA, PPARG, SNCA, TAS2R14","CT, MR","DrugBank, GtoPdb"
SERTRALINE HYDROCHLORIDE,11,"CHRM1, EHMT2, GC, GMNN, LMNA, MAPK1, MEN1, NFKB1, SMAD3, SMN1, TP53","CT, CT;DCE_KEGG",ChEMBL
TACRINE HYDROCHLORIDE,11,"ACHE, AR, EHMT2, ESR1, GMNN, HDAC6, LMNA, MAPK1, NFE2L2, RXRA, THRB",CT,ChEMBL
TALAMPICILLIN,11,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
Tetrabromo-2-Benzotriazole,11,"AKT1, CSNK2A1, GSK3B, LCK, MAP2K1, MAPK1, MAPK11, MAPK14, MAPK8, PRKACA, PRKCA",CT,DrugBank
THENALIDINE,11,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
TIPIRACIL,11,"ACHE, AR, CHRM1, CHRM2, DRD1, ESR1, HDAC6, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
TRICLABENDAZOLE,11,"EHMT2, GMNN, GNAS, HDAC6, HSP90AA1, MEN1, NFE2L2, PTH1R, SMAD3, SNCA, TTR",CT,ChEMBL
VALBENAZINE,11,"ACHE, AR, CHRM1, CHRM2, DRD1, DRD3, ESR1, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
vortioxetine,11,"ADRB2, HDAC6, HRH2, HTR1A, HTR1B, HTR1D, HTR2C, HTR3A, HTR6, HTR7, HTT",CT,"ChEMBL, DrugBank, DrugCentral, GtoPdb"
"3,4-di-(4-methoxyphenyl)-1H-pyrrole-2,5-dione",10,"CCNB1, CCNE1, CDK2, CDK4, CDK6, EGFR, ERBB2, PRKCA, PRKCE, TEK",CT,TTD
"3,4-diphenyl-1H-pyrrole-2,5-dione",10,"CCNB1, CCNE1, CDK2, CDK4, CDK6, EGFR, ERBB2, PRKCA, PRKCE, TEK",CT,TTD
"3-(4-methoxyphenyl)-4-phenyl-1H-pyrrole-2,5-dione",10,"CCNB1, CCNE1, CDK2, CDK4, CDK6, EGFR, ERBB2, PRKCA, PRKCE, TEK",CT,TTD
"4,5,6,7-tetrabromo-1H-benzo[d][1,2,3]triazole",10,"AKT1, CSNK2A1, GSK3B, LCK, MAP2K1, MAPK1, MAPK11, MAPK14, MAPK8, PRKCA",CT,TTD
5-hydroxytryptamine,10,"DRD1, DRD5, HTR1A, HTR1B, HTR1D, HTR1F, HTR2B, HTR2C, HTR6, HTR7",CT,GtoPdb
Alpha-D-Mannose,10,"CD2, DPP4, FCER1G, IGF1R, IL6R, IL6ST, LDLR, NOS1, RHO, RTN4R",CT,TTD
alpha-Ergocryptine,10,"ADRA1D, ADRA2B, ADRA2C, DRD1, DRD3, HTR1A, HTR1B, HTR2B, HTR2C, HTR6",CT,"DrugCentral, TTD"
Bisindolylmaleimide I,10,"AKT1, CCNB1, GSK3B, LCK, MAPK1, MAPK11, MAPK14, MAPK8, PDPK1, PRKCZ",CT,DrugBank
CICLOPIROX OLAMINE,10,"GC, GMNN, HIF1A, HSP90AA1, LMNA, MAPK1, NFE2L2, SMAD3, SMN1, TP53","CT, CT;DCE_KEGG",ChEMBL
cyamemazine,10,"CHRM1, CHRM2, CHRM4, CHRM5, DRD1, DRD3, HTR1A, HTR2C, HTR3A, HTR7",CT,"DrugBank, DrugCentral, GtoPdb, TTD"
DEQUALINIUM CHLORIDE,10,"CBFB, EHMT2, GMNN, HAP1, LMNA, MEN1, MPHOSPH8, RUNX1, SMN1, TP53","CT, CT;DCE_KEGG",ChEMBL
DEUCRAVACITINIB,10,"ABL1, AURKA, BMPR2, CDK2, FGFR3, GSK3B, JAK2, MAPK1, STAT3, TRIM24","CT, CT;DCE_KEGG","ChEMBL, GtoPdb"
dicycloverine,10,"CHRM1, CHRM2, CHRM4, CHRM5, DRD3, HRH2, HTR2B, HTR2C, HTR6, SIGMAR1",CT,DrugCentral
DILTIAZEM HYDROCHLORIDE,10,"CBFB, EHMT2, GMNN, HDAC6, LMNA, MEN1, MPHOSPH8, RUNX1, SMAD3, THRB",CT,ChEMBL
DIPHENHYDRAMINE HYDROCHLORIDE,10,"EHMT2, ESR1, HDAC6, LMNA, MAPK1, PPARD, RXRA, SMN1, SNCA, THRB",CT,ChEMBL
DYCLONINE HYDROCHLORIDE,10,"EHMT2, GMNN, LMNA, NFE2L2, PLK1, PTH1R, SMAD3, SMN1, THRB, VDR",CT,ChEMBL
EPIRUBICIN HYDROCHLORIDE,10,"GMNN, GNAS, HDAC6, NFE2L2, PIN1, PLK1, SMAD3, SNCA, TSG101, WRN",CT,ChEMBL
ISOETHARINE MESYLATE,10,"ADRB2, DRD3, EHMT2, HAP1, HIF1A, HTT, LMNA, NFE2L2, PTH1R, RXFP1","CT, CT;DCE_KEGG",ChEMBL
LEVONORDEFRIN,10,"ADRA1D, ADRA2B, ADRA2C, EHMT2, HAP1, HDAC6, HIF1A, LMNA, NFKB1, VDR","CT, CT;DCE_KEGG","ChEMBL, DrugBank, TTD"
LINACLOTIDE,10,"ADORA2A, ADRA2C, ADRB2, CHRM1, CHRM2, GUCY2C, HDAC6, HTR1A, MC3R, PGR",CT,"ChEMBL, DrugBank, DrugCentral, GtoPdb, TTD"
MANDELIC ACID,10,"GAPDH, HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HSPA1A, HSPA8, LMNA",CT,ChEMBL
MECHLORETHAMINE HYDROCHLORIDE,10,"AR, GMNN, HTT, LMNA, NFE2L2, NR3C1, PPARD, RXRA, THRB, TP53","CT, CT;DCE_KEGG",ChEMBL
Nandrolone decanoate,10,"AR, DRD1, FOS, HDAC6, HTR1B, IGF1R, LMNA, PGR, SHBG, SLC22A1",CT,"ChEMBL, DrugBank, DrugCentral"
NORTRIPTYLINE HYDROCHLORIDE,10,"EHMT2, GMNN, HDAC6, KPNB1, LMNA, MEN1, MPHOSPH8, RAN, SMAD3, SMN1",CT,ChEMBL
OCTOCRYLENE,10,"AR, EHMT2, ESR1, ESR2, GMNN, LMNA, MAPK1, NFE2L2, PPARG, THRB",CT,"ChEMBL, DrugBank"
PHENOXYPROPAZINE,10,"ACHE, AR, CHRM1, CHRM2, DRD1, ESR1, HTR1A, HTR2B, HTT, PGR",CT,ChEMBL
Pizotifen,10,"ADRA1D, ADRA2B, ADRA2C, CHRM1, CHRM2, HTR1A, HTR1B, HTR2B, HTR2C, HTR7",CT,"DrugBank, DrugCentral, GtoPdb"
PMID23489211C20,10,"EPHA1, EPHA2, EPHA3, EPHA5, EPHA6, EPHA7, EPHA8, EPHB1, EPHB2, EPHB4",CT,TTD
PROMAZINE HYDROCHLORIDE,10,"CBFB, EHMT2, GC, GMNN, HAP1, HDAC6, LMNA, MPHOSPH8, RUNX1, SMN1",CT,ChEMBL
RGB-286638,10,"CDK2, CDK4, CDK6, CDK7, CDK9, FLT3, GSK3B, JAK2, MAP3K7, MAPK9",CT,"GtoPdb, TTD"
SORAFENIB TOSYLATE,10,"AKT1, GMNN, GNAS, NFE2L2, NTSR1, PLK1, PTH1R, PTK2, SMAD3, SNCA",CT,ChEMBL
tirilazad,10,"ADRA2C, ADRB2, EGFR, FYN, HRH2, HTR2B, HTR2C, LCK, MAPK14, MAPK3",CT,DrugCentral
