rank_by_AE_burden,cohort_id,drug,file,ae_score_sum_probability,n_AE_events,trial_id_used
217,NCT04809974,Gentamicin,result_trial_data_NCT04809974_CF_Gentamicin_AE_mapped.tsv,2.596288,100,trial_2
218,NCT04809974,Lorazepam,result_trial_data_NCT04809974_CF_Lorazepam_AE_mapped.tsv,2.600296,100,trial_2
219,NCT04809974,Acetylcysteine,result_trial_data_NCT04809974_CF_Acetylcysteine_AE_mapped.tsv,2.605506,100,trial_2
220,NCT04809974,Methyldopa,result_trial_data_NCT04809974_CF_Methyldopa_AE_mapped.tsv,2.607727,100,trial_2
221,NCT04809974,Aminophylline,result_trial_data_NCT04809974_CF_Aminophylline_AE_mapped.tsv,2.611151,100,trial_2
222,NCT04809974,Amiodarone,result_trial_data_NCT04809974_CF_Amiodarone_AE_mapped.tsv,2.611496,100,trial_2
223,NCT04809974,Metaxalone,result_trial_data_NCT04809974_CF_Metaxalone_AE_mapped.tsv,2.613972,100,trial_2
224,NCT04809974,Carbimazole,result_trial_data_NCT04809974_CF_Carbimazole_AE_mapped.tsv,2.618408,100,trial_2
225,NCT04809974,Cycloserine,result_trial_data_NCT04809974_CF_Cycloserine_AE_mapped.tsv,2.622804,100,trial_2
226,NCT04809974,Ivermectin,result_trial_data_NCT04809974_CF_Ivermectin_AE_mapped.tsv,2.622973,100,trial_2
227,NCT04809974,Ertapenem,result_trial_data_NCT04809974_CF_Ertapenem_AE_mapped.tsv,2.624484,100,trial_2
228,NCT04809974,Chlorpheniramine,result_trial_data_NCT04809974_CF_Chlorpheniramine_AE_mapped.tsv,2.624839,100,trial_2
229,NCT04809974,Meloxicam,result_trial_data_NCT04809974_CF_Meloxicam_AE_mapped.tsv,2.628168,100,trial_2
230,NCT04809974,Glycopyrronium,result_trial_data_NCT04809974_CF_Glycopyrronium_AE_mapped.tsv,2.629653,100,trial_2
231,NCT04809974,Melatonin,result_trial_data_NCT04809974_CF_Melatonin_AE_mapped.tsv,2.630596,100,trial_2
232,NCT04809974,Sulfadiazine,result_trial_data_NCT04809974_CF_Sulfadiazine_AE_mapped.tsv,2.631304,100,trial_2
233,NCT04809974,Adenosine,result_trial_data_NCT04809974_CF_Adenosine_AE_mapped.tsv,2.634818,100,trial_2
234,NCT04809974,Repaglinide,result_trial_data_NCT04809974_CF_Repaglinide_AE_mapped.tsv,2.639534,100,trial_2
235,NCT04809974,Prasterone,result_trial_data_NCT04809974_CF_Prasterone_AE_mapped.tsv,2.640400,100,trial_2
236,NCT04809974,Cefazolin,result_trial_data_NCT04809974_CF_Cefazolin_AE_mapped.tsv,2.640864,100,trial_2
237,NCT04809974,Prednisolone,result_trial_data_NCT04809974_CF_Prednisolone_AE_mapped.tsv,2.641590,100,trial_2
238,NCT04809974,Clofazimine,result_trial_data_NCT04809974_CF_Clofazimine_AE_mapped.tsv,2.642442,100,trial_2
239,NCT04809974,Etomidate,result_trial_data_NCT04809974_CF_Etomidate_AE_mapped.tsv,2.642493,100,trial_2
240,NCT04809974,Brimonidine,result_trial_data_NCT04809974_CF_Brimonidine_AE_mapped.tsv,2.644074,100,trial_2
241,NCT04809974,Cefdinir,result_trial_data_NCT04809974_CF_Cefdinir_AE_mapped.tsv,2.644846,100,trial_2
242,NCT04809974,Levofloxacin,result_trial_data_NCT04809974_CF_Levofloxacin_AE_mapped.tsv,2.647097,100,trial_2
243,NCT04809974,Indacaterol,result_trial_data_NCT04809974_CF_Indacaterol_AE_mapped.tsv,2.651505,100,trial_2
244,NCT04809974,Hyoscyamine,result_trial_data_NCT04809974_CF_Hyoscyamine_AE_mapped.tsv,2.651606,100,trial_2
245,NCT04809974,Chlorpromazine,result_trial_data_NCT04809974_CF_Chlorpromazine_AE_mapped.tsv,2.652118,100,trial_2
246,NCT04809974,Trimethoprim,result_trial_data_NCT04809974_CF_Trimethoprim_AE_mapped.tsv,2.661319,100,trial_2
247,NCT04809974,Loxapine,result_trial_data_NCT04809974_CF_Loxapine_AE_mapped.tsv,2.666126,100,trial_2
248,NCT04809974,Fosfomycin,result_trial_data_NCT04809974_CF_Fosfomycin_AE_mapped.tsv,2.674694,100,trial_2
249,NCT04809974,Tramadol,result_trial_data_NCT04809974_CF_Tramadol_AE_mapped.tsv,2.680645,100,trial_2
250,NCT04809974,Estriol,result_trial_data_NCT04809974_CF_Estriol_AE_mapped.tsv,2.681026,100,trial_2
251,NCT04809974,Secnidazole,result_trial_data_NCT04809974_CF_Secnidazole_AE_mapped.tsv,2.685891,100,trial_2
252,NCT04809974,Nimodipine,result_trial_data_NCT04809974_CF_Nimodipine_AE_mapped.tsv,2.688690,100,trial_2
253,NCT04809974,Alfuzosin,result_trial_data_NCT04809974_CF_Alfuzosin_AE_mapped.tsv,2.689346,100,trial_2
254,NCT04809974,Selenomethionine,result_trial_data_NCT04809974_CF_Selenomethionine_AE_mapped.tsv,2.692598,100,trial_2
255,NCT04809974,Tinidazole,result_trial_data_NCT04809974_CF_Tinidazole_AE_mapped.tsv,2.696107,100,trial_2
256,NCT04809974,Ornidazole,result_trial_data_NCT04809974_CF_Ornidazole_AE_mapped.tsv,2.696194,100,trial_2
257,NCT04809974,Miconazole,result_trial_data_NCT04809974_CF_Miconazole_AE_mapped.tsv,2.697355,100,trial_2
258,NCT04809974,Azelaic_acid,result_trial_data_NCT04809974_CF_Azelaic_acid_AE_mapped.tsv,2.698269,100,trial_2
259,NCT04809974,Benzyl_alcohol,result_trial_data_NCT04809974_CF_Benzyl_alcohol_AE_mapped.tsv,2.700514,100,trial_2
260,NCT04809974,Montelukast,result_trial_data_NCT04809974_CF_Montelukast_AE_mapped.tsv,2.701992,100,trial_2
261,NCT04809974,Anthralin,result_trial_data_NCT04809974_CF_Anthralin_AE_mapped.tsv,2.706355,100,trial_2
262,NCT04809974,Loratadine,result_trial_data_NCT04809974_CF_Loratadine_AE_mapped.tsv,2.713514,100,trial_2
263,NCT04809974,Etidronic_acid,result_trial_data_NCT04809974_CF_Etidronic_acid_AE_mapped.tsv,2.715254,100,trial_2
264,NCT04809974,Resveratrol,result_trial_data_NCT04809974_CF_Resveratrol_AE_mapped.tsv,2.720225,100,trial_2
265,NCT04809974,Dopamine,result_trial_data_NCT04809974_CF_Dopamine_AE_mapped.tsv,2.721885,100,trial_2
266,NCT04809974,Sulfasalazine,result_trial_data_NCT04809974_CF_Sulfasalazine_AE_mapped.tsv,2.724945,100,trial_2
267,NCT04809974,Ethinylestradiol,result_trial_data_NCT04809974_CF_Ethinylestradiol_AE_mapped.tsv,2.724962,100,trial_2
268,NCT04809974,Kanamycin,result_trial_data_NCT04809974_CF_Kanamycin_AE_mapped.tsv,2.725153,100,trial_2
269,NCT04809974,Desloratadine,result_trial_data_NCT04809974_CF_Desloratadine_AE_mapped.tsv,2.726218,100,trial_2
270,NCT04809974,Carvedilol,result_trial_data_NCT04809974_CF_Carvedilol_AE_mapped.tsv,2.726307,100,trial_2
271,NCT04809974,Azelastine,result_trial_data_NCT04809974_CF_Azelastine_AE_mapped.tsv,2.731888,100,trial_2
272,NCT04809974,Hydrochlorothiazide,result_trial_data_NCT04809974_CF_Hydrochlorothiazide_AE_mapped.tsv,2.734009,100,trial_2
273,NCT04809974,Griseofulvin,result_trial_data_NCT04809974_CF_Griseofulvin_AE_mapped.tsv,2.738991,100,trial_2
274,NCT04809974,Dopexamine,result_trial_data_NCT04809974_CF_Dopexamine_AE_mapped.tsv,2.749686,100,trial_2
275,NCT04809974,Nabumetone,result_trial_data_NCT04809974_CF_Nabumetone_AE_mapped.tsv,2.749891,100,trial_2
276,NCT04809974,Mitomycin,result_trial_data_NCT04809974_CF_Mitomycin_AE_mapped.tsv,2.750888,100,trial_2
277,NCT04809974,Amphetamine,result_trial_data_NCT04809974_CF_Amphetamine_AE_mapped.tsv,2.755368,100,trial_2
278,NCT04809974,Dextroamphetamine,result_trial_data_NCT04809974_CF_Dextroamphetamine_AE_mapped.tsv,2.755368,100,trial_2
279,NCT04809974,Estazolam,result_trial_data_NCT04809974_CF_Estazolam_AE_mapped.tsv,2.755679,100,trial_2
280,NCT04809974,Ibandronate,result_trial_data_NCT04809974_CF_Ibandronate_AE_mapped.tsv,2.755894,100,trial_2
281,NCT04809974,Fentanyl,result_trial_data_NCT04809974_CF_Fentanyl_AE_mapped.tsv,2.758970,100,trial_2
282,NCT04809974,Fexofenadine,result_trial_data_NCT04809974_CF_Fexofenadine_AE_mapped.tsv,2.766976,100,trial_2
283,NCT04809974,Glutathione_disulfid,result_trial_data_NCT04809974_CF_Glutathione_disulfid_AE_mapped.tsv,2.767263,100,trial_2
284,NCT04809974,Uridine_triacetate,result_trial_data_NCT04809974_CF_Uridine_triacetate_AE_mapped.tsv,2.771516,100,trial_2
285,NCT04809974,Latanoprostene_bunod,result_trial_data_NCT04809974_CF_Latanoprostene_bunod_AE_mapped.tsv,2.775806,100,trial_2
286,NCT04809974,Reserpine,result_trial_data_NCT04809974_CF_Reserpine_AE_mapped.tsv,2.776934,100,trial_2
287,NCT04809974,Efavirenz,result_trial_data_NCT04809974_CF_Efavirenz_AE_mapped.tsv,2.777388,100,trial_2
288,NCT04809974,Nitrazepam,result_trial_data_NCT04809974_CF_Nitrazepam_AE_mapped.tsv,2.779182,100,trial_2
289,NCT04809974,Droperidol,result_trial_data_NCT04809974_CF_Droperidol_AE_mapped.tsv,2.779989,100,trial_2
290,NCT04809974,Ergometrine,result_trial_data_NCT04809974_CF_Ergometrine_AE_mapped.tsv,2.781242,100,trial_2
291,NCT04809974,Bethanechol,result_trial_data_NCT04809974_CF_Bethanechol_AE_mapped.tsv,2.782245,100,trial_2
292,NCT04809974,Nitrendipine,result_trial_data_NCT04809974_CF_Nitrendipine_AE_mapped.tsv,2.782265,100,trial_2
293,NCT04809974,Pyrazinamide,result_trial_data_NCT04809974_CF_Pyrazinamide_AE_mapped.tsv,2.783678,100,trial_2
294,NCT04809974,Lansoprazole,result_trial_data_NCT04809974_CF_Lansoprazole_AE_mapped.tsv,2.785900,100,trial_2
295,NCT04809974,Ephedrine,result_trial_data_NCT04809974_CF_Ephedrine_AE_mapped.tsv,2.786305,100,trial_2
296,NCT04809974,Furazolidone,result_trial_data_NCT04809974_CF_Furazolidone_AE_mapped.tsv,2.787240,100,trial_2
297,NCT04809974,Chlorphentermine,result_trial_data_NCT04809974_CF_Chlorphentermine_AE_mapped.tsv,2.788549,100,trial_2
298,NCT04809974,Bacitracin,result_trial_data_NCT04809974_CF_Bacitracin_AE_mapped.tsv,2.788835,100,trial_2
299,NCT04809974,Desogestrel,result_trial_data_NCT04809974_CF_Desogestrel_AE_mapped.tsv,2.789956,100,trial_2
300,NCT04809974,Fumaric_Acid,result_trial_data_NCT04809974_CF_Fumaric_Acid_AE_mapped.tsv,2.790769,100,trial_2
301,NCT04809974,Molsidomine,result_trial_data_NCT04809974_CF_Molsidomine_AE_mapped.tsv,2.798740,100,trial_2
302,NCT04809974,Amikacin,result_trial_data_NCT04809974_CF_Amikacin_AE_mapped.tsv,2.799196,100,trial_2
303,NCT04809974,Atorvastatin,result_trial_data_NCT04809974_CF_Atorvastatin_AE_mapped.tsv,2.800289,100,trial_2
304,NCT04809974,Theophylline,result_trial_data_NCT04809974_CF_Theophylline_AE_mapped.tsv,2.800538,100,trial_2
305,NCT04809974,Acipimox,result_trial_data_NCT04809974_CF_Acipimox_AE_mapped.tsv,2.801545,100,trial_2
306,NCT04809974,Sucrose,result_trial_data_NCT04809974_CF_Sucrose_AE_mapped.tsv,2.807668,100,trial_2
307,NCT04809974,Calcitriol,result_trial_data_NCT04809974_CF_Calcitriol_AE_mapped.tsv,2.811007,100,trial_2
308,NCT04809974,Rimexolone,result_trial_data_NCT04809974_CF_Rimexolone_AE_mapped.tsv,2.811810,100,trial_2
309,NCT04809974,Phylloquinone,result_trial_data_NCT04809974_CF_Phylloquinone_AE_mapped.tsv,2.815858,100,trial_2
310,NCT04809974,Oxytetracycline,result_trial_data_NCT04809974_CF_Oxytetracycline_AE_mapped.tsv,2.817939,100,trial_2
311,NCT04809974,Copper,result_trial_data_NCT04809974_CF_Copper_AE_mapped.tsv,2.821704,100,trial_2
312,NCT04809974,Methacholine,result_trial_data_NCT04809974_CF_Methacholine_AE_mapped.tsv,2.822350,100,trial_2
313,NCT04809974,Tamoxifen,result_trial_data_NCT04809974_CF_Tamoxifen_AE_mapped.tsv,2.824775,100,trial_2
314,NCT04809974,Hydrocodone,result_trial_data_NCT04809974_CF_Hydrocodone_AE_mapped.tsv,2.828729,100,trial_2
315,NCT04809974,Triamcinolone,result_trial_data_NCT04809974_CF_Triamcinolone_AE_mapped.tsv,2.829450,100,trial_2
316,NCT04809974,Naphazoline,result_trial_data_NCT04809974_CF_Naphazoline_AE_mapped.tsv,2.830057,100,trial_2
317,NCT04809974,Gentian_violet_catio,result_trial_data_NCT04809974_CF_Gentian_violet_catio_AE_mapped.tsv,2.832471,100,trial_2
318,NCT04809974,Testosterone,result_trial_data_NCT04809974_CF_Testosterone_AE_mapped.tsv,2.833190,100,trial_2
319,NCT04809974,Pioglitazone,result_trial_data_NCT04809974_CF_Pioglitazone_AE_mapped.tsv,2.837506,100,trial_2
320,NCT04809974,Fluvastatin,result_trial_data_NCT04809974_CF_Fluvastatin_AE_mapped.tsv,2.837607,100,trial_2
321,NCT04809974,Metoprolol,result_trial_data_NCT04809974_CF_Metoprolol_AE_mapped.tsv,2.839326,100,trial_2
322,NCT04809974,Olsalazine,result_trial_data_NCT04809974_CF_Olsalazine_AE_mapped.tsv,2.841554,100,trial_2
323,NCT04809974,Chlordiazepoxide,result_trial_data_NCT04809974_CF_Chlordiazepoxide_AE_mapped.tsv,2.843332,100,trial_2
324,NCT04809974,Oxybenzone,result_trial_data_NCT04809974_CF_Oxybenzone_AE_mapped.tsv,2.845362,100,trial_2
325,NCT04809974,Norepinephrine,result_trial_data_NCT04809974_CF_Norepinephrine_AE_mapped.tsv,2.845398,100,trial_2
326,NCT04809974,Dydrogesterone,result_trial_data_NCT04809974_CF_Dydrogesterone_AE_mapped.tsv,2.845515,100,trial_2
327,NCT04809974,Bromhexine,result_trial_data_NCT04809974_CF_Bromhexine_AE_mapped.tsv,2.851959,100,trial_2
328,NCT04809974,Aminobenzoic_acid,result_trial_data_NCT04809974_CF_Aminobenzoic_acid_AE_mapped.tsv,2.852481,100,trial_2
329,NCT04809974,Rosiglitazone,result_trial_data_NCT04809974_CF_Rosiglitazone_AE_mapped.tsv,2.855943,100,trial_2
330,NCT04809974,Minocycline,result_trial_data_NCT04809974_CF_Minocycline_AE_mapped.tsv,2.858566,100,trial_2
331,NCT04809974,Fenofibrate,result_trial_data_NCT04809974_CF_Fenofibrate_AE_mapped.tsv,2.866210,100,trial_2
332,NCT04809974,Lamivudine,result_trial_data_NCT04809974_CF_Lamivudine_AE_mapped.tsv,2.866544,100,trial_2
333,NCT04809974,Carbamoylcholine,result_trial_data_NCT04809974_CF_Carbamoylcholine_AE_mapped.tsv,2.869682,100,trial_2
334,NCT04809974,Oxazepam,result_trial_data_NCT04809974_CF_Oxazepam_AE_mapped.tsv,2.870196,100,trial_2
335,NCT04809974,Labetalol,result_trial_data_NCT04809974_CF_Labetalol_AE_mapped.tsv,2.870620,100,trial_2
336,NCT04809974,Arformoterol,result_trial_data_NCT04809974_CF_Arformoterol_AE_mapped.tsv,2.872442,100,trial_2
337,NCT04809974,Cyproterone_acetate,result_trial_data_NCT04809974_CF_Cyproterone_acetate_AE_mapped.tsv,2.883619,100,trial_2
338,NCT04809974,Sulfadoxine,result_trial_data_NCT04809974_CF_Sulfadoxine_AE_mapped.tsv,2.891127,100,trial_2
339,NCT04809974,Camphor,result_trial_data_NCT04809974_CF_Camphor_AE_mapped.tsv,2.891613,100,trial_2
340,NCT04809974,Bromocriptine,result_trial_data_NCT04809974_CF_Bromocriptine_AE_mapped.tsv,2.891897,100,trial_2
341,NCT04809974,Butorphanol,result_trial_data_NCT04809974_CF_Butorphanol_AE_mapped.tsv,2.892721,100,trial_2
342,NCT04809974,Sulfametopyrazine,result_trial_data_NCT04809974_CF_Sulfametopyrazine_AE_mapped.tsv,2.893734,100,trial_2
343,NCT04809974,Cysteine,result_trial_data_NCT04809974_CF_Cysteine_AE_mapped.tsv,2.895880,100,trial_2
344,NCT04809974,Phenobarbital,result_trial_data_NCT04809974_CF_Phenobarbital_AE_mapped.tsv,2.895982,100,trial_2
345,NCT04809974,Acitretin,result_trial_data_NCT04809974_CF_Acitretin_AE_mapped.tsv,2.896069,100,trial_2
346,NCT04809974,Piracetam,result_trial_data_NCT04809974_CF_Piracetam_AE_mapped.tsv,2.896523,100,trial_2
347,NCT04809974,Cantharidin,result_trial_data_NCT04809974_CF_Cantharidin_AE_mapped.tsv,2.897366,100,trial_2
348,NCT04809974,Pravastatin,result_trial_data_NCT04809974_CF_Pravastatin_AE_mapped.tsv,2.900304,100,trial_2
349,NCT04809974,Ampicillin,result_trial_data_NCT04809974_CF_Ampicillin_AE_mapped.tsv,2.902073,100,trial_2
350,NCT04809974,Selegiline,result_trial_data_NCT04809974_CF_Selegiline_AE_mapped.tsv,2.903899,100,trial_2
351,NCT04809974,Niacin,result_trial_data_NCT04809974_CF_Niacin_AE_mapped.tsv,2.907522,100,trial_2
352,NCT04809974,Ursodeoxycholic_acid,result_trial_data_NCT04809974_CF_Ursodeoxycholic_acid_AE_mapped.tsv,2.909067,100,trial_2
353,NCT04809974,Tobramycin,result_trial_data_NCT04809974_CF_Tobramycin_AE_mapped.tsv,2.911243,100,trial_2
354,NCT04809974,Proflavine,result_trial_data_NCT04809974_CF_Proflavine_AE_mapped.tsv,2.913669,100,trial_2
355,NCT04809974,Decamethonium,result_trial_data_NCT04809974_CF_Decamethonium_AE_mapped.tsv,2.918766,100,trial_2
356,NCT04809974,Cefotetan,result_trial_data_NCT04809974_CF_Cefotetan_AE_mapped.tsv,2.924389,100,trial_2
357,NCT04809974,Podofilox,result_trial_data_NCT04809974_CF_Podofilox_AE_mapped.tsv,2.925416,100,trial_2
358,NCT04809974,Memantine,result_trial_data_NCT04809974_CF_Memantine_AE_mapped.tsv,2.927060,100,trial_2
359,NCT04809974,Erythromycin,result_trial_data_NCT04809974_CF_Erythromycin_AE_mapped.tsv,2.928035,100,trial_2
360,NCT04809974,Flavoxate,result_trial_data_NCT04809974_CF_Flavoxate_AE_mapped.tsv,2.934732,100,trial_2
361,NCT04809974,Propantheline,result_trial_data_NCT04809974_CF_Propantheline_AE_mapped.tsv,2.936050,100,trial_2
362,NCT04809974,Milrinone,result_trial_data_NCT04809974_CF_Milrinone_AE_mapped.tsv,2.939426,100,trial_2
363,NCT04809974,Adefovir_dipivoxil,result_trial_data_NCT04809974_CF_Adefovir_dipivoxil_AE_mapped.tsv,2.940418,100,trial_2
364,NCT04809974,Flurbiprofen,result_trial_data_NCT04809974_CF_Flurbiprofen_AE_mapped.tsv,2.941013,100,trial_2
365,NCT04809974,Hydrocortisone,result_trial_data_NCT04809974_CF_Hydrocortisone_AE_mapped.tsv,2.942624,100,trial_2
366,NCT04809974,Methylprednisolone,result_trial_data_NCT04809974_CF_Methylprednisolone_AE_mapped.tsv,2.944038,100,trial_2
367,NCT04809974,Zopiclone,result_trial_data_NCT04809974_CF_Zopiclone_AE_mapped.tsv,2.944076,100,trial_2
368,NCT04809974,Pantoprazole,result_trial_data_NCT04809974_CF_Pantoprazole_AE_mapped.tsv,2.944982,100,trial_2
369,NCT04809974,Biperiden,result_trial_data_NCT04809974_CF_Biperiden_AE_mapped.tsv,2.945790,100,trial_2
370,NCT04809974,Isotretinoin,result_trial_data_NCT04809974_CF_Isotretinoin_AE_mapped.tsv,2.946547,100,trial_2
371,NCT04809974,Dinoprost,result_trial_data_NCT04809974_CF_Dinoprost_AE_mapped.tsv,2.952756,100,trial_2
372,NCT04809974,Etonogestrel,result_trial_data_NCT04809974_CF_Etonogestrel_AE_mapped.tsv,2.954277,100,trial_2
373,NCT04809974,Indigotindisulfonic_,result_trial_data_NCT04809974_CF_Indigotindisulfonic__AE_mapped.tsv,2.954408,100,trial_2
374,NCT04809974,Nevirapine,result_trial_data_NCT04809974_CF_Nevirapine_AE_mapped.tsv,2.959712,100,trial_2
375,NCT04809974,Natamycin,result_trial_data_NCT04809974_CF_Natamycin_AE_mapped.tsv,2.962037,100,trial_2
376,NCT04809974,Clonidine,result_trial_data_NCT04809974_CF_Clonidine_AE_mapped.tsv,2.964416,100,trial_2
377,NCT04809974,Acetylcarnitine,result_trial_data_NCT04809974_CF_Acetylcarnitine_AE_mapped.tsv,2.968452,100,trial_2
378,NCT04809974,Tromethamine,result_trial_data_NCT04809974_CF_Tromethamine_AE_mapped.tsv,2.971421,100,trial_2
379,NCT04809974,Phenol,result_trial_data_NCT04809974_CF_Phenol_AE_mapped.tsv,2.972512,100,trial_2
380,NCT04809974,Levamisole,result_trial_data_NCT04809974_CF_Levamisole_AE_mapped.tsv,2.973946,100,trial_2
381,NCT04809974,Streptomycin,result_trial_data_NCT04809974_CF_Streptomycin_AE_mapped.tsv,2.977460,100,trial_2
382,NCT04809974,Entecavir,result_trial_data_NCT04809974_CF_Entecavir_AE_mapped.tsv,2.977992,100,trial_2
383,NCT04809974,Naloxone,result_trial_data_NCT04809974_CF_Naloxone_AE_mapped.tsv,2.980015,100,trial_2
384,NCT04809974,Vilanterol,result_trial_data_NCT04809974_CF_Vilanterol_AE_mapped.tsv,2.980997,100,trial_2
385,NCT04809974,Diphenhydramine,result_trial_data_NCT04809974_CF_Diphenhydramine_AE_mapped.tsv,2.981999,100,trial_2
386,NCT04809974,Regadenoson,result_trial_data_NCT04809974_CF_Regadenoson_AE_mapped.tsv,2.983165,100,trial_2
387,NCT04809974,Doxycycline,result_trial_data_NCT04809974_CF_Doxycycline_AE_mapped.tsv,2.985344,100,trial_2
388,NCT04809974,Olodaterol,result_trial_data_NCT04809974_CF_Olodaterol_AE_mapped.tsv,2.987395,100,trial_2
389,NCT04809974,Clobetasol_propionat,result_trial_data_NCT04809974_CF_Clobetasol_propionat_AE_mapped.tsv,2.990298,100,trial_2
390,NCT04809974,Midazolam,result_trial_data_NCT04809974_CF_Midazolam_AE_mapped.tsv,2.991654,100,trial_2
391,NCT04809974,Clonazepam,result_trial_data_NCT04809974_CF_Clonazepam_AE_mapped.tsv,2.992793,100,trial_2
392,NCT04809974,Levocarnitine,result_trial_data_NCT04809974_CF_Levocarnitine_AE_mapped.tsv,2.993582,100,trial_2
393,NCT04809974,Choline_C_11,result_trial_data_NCT04809974_CF_Choline_C_11_AE_mapped.tsv,2.994471,100,trial_2
394,NCT04809974,Albendazole,result_trial_data_NCT04809974_CF_Albendazole_AE_mapped.tsv,2.994633,100,trial_2
395,NCT04809974,Hydroxyzine,result_trial_data_NCT04809974_CF_Hydroxyzine_AE_mapped.tsv,2.996549,100,trial_2
396,NCT04809974,Haloperidol,result_trial_data_NCT04809974_CF_Haloperidol_AE_mapped.tsv,2.998522,100,trial_2
397,NCT04809974,Acamprosate,result_trial_data_NCT04809974_CF_Acamprosate_AE_mapped.tsv,3.000014,100,trial_2
398,NCT04809974,Tamsulosin,result_trial_data_NCT04809974_CF_Tamsulosin_AE_mapped.tsv,3.001187,100,trial_2
399,NCT04809974,Tolmetin,result_trial_data_NCT04809974_CF_Tolmetin_AE_mapped.tsv,3.002837,100,trial_2
400,NCT04809974,Bupropion,result_trial_data_NCT04809974_CF_Bupropion_AE_mapped.tsv,3.010595,100,trial_2
401,NCT04809974,Ceftazidime,result_trial_data_NCT04809974_CF_Ceftazidime_AE_mapped.tsv,3.011727,100,trial_2
402,NCT04809974,Tretinoin,result_trial_data_NCT04809974_CF_Tretinoin_AE_mapped.tsv,3.013754,100,trial_2
403,NCT04809974,Bendroflumethiazide,result_trial_data_NCT04809974_CF_Bendroflumethiazide_AE_mapped.tsv,3.024083,100,trial_2
404,NCT04809974,Fluphenazine,result_trial_data_NCT04809974_CF_Fluphenazine_AE_mapped.tsv,3.030279,100,trial_2
405,NCT04809974,Midodrine,result_trial_data_NCT04809974_CF_Midodrine_AE_mapped.tsv,3.031194,100,trial_2
406,NCT04809974,Diazoxide,result_trial_data_NCT04809974_CF_Diazoxide_AE_mapped.tsv,3.033270,100,trial_2
407,NCT04809974,Lysergic_acid_diethy,result_trial_data_NCT04809974_CF_Lysergic_acid_diethy_AE_mapped.tsv,3.035473,100,trial_2
408,NCT04809974,Omeprazole,result_trial_data_NCT04809974_CF_Omeprazole_AE_mapped.tsv,3.037705,100,trial_2
409,NCT04809974,Sitagliptin,result_trial_data_NCT04809974_CF_Sitagliptin_AE_mapped.tsv,3.045188,100,trial_2
410,NCT04809974,Prednicarbate,result_trial_data_NCT04809974_CF_Prednicarbate_AE_mapped.tsv,3.045454,100,trial_2
411,NCT04809974,Amisulpride,result_trial_data_NCT04809974_CF_Amisulpride_AE_mapped.tsv,3.049683,100,trial_2
412,NCT04809974,Nystatin,result_trial_data_NCT04809974_CF_Nystatin_AE_mapped.tsv,3.052687,100,trial_2
413,NCT04809974,Loperamide,result_trial_data_NCT04809974_CF_Loperamide_AE_mapped.tsv,3.054451,100,trial_2
414,NCT04809974,Benserazide,result_trial_data_NCT04809974_CF_Benserazide_AE_mapped.tsv,3.059906,100,trial_2
415,NCT04809974,Cocaine,result_trial_data_NCT04809974_CF_Cocaine_AE_mapped.tsv,3.059914,100,trial_2
416,NCT04809974,Chloramphenicol,result_trial_data_NCT04809974_CF_Chloramphenicol_AE_mapped.tsv,3.061528,100,trial_2
417,NCT04809974,Meclizine,result_trial_data_NCT04809974_CF_Meclizine_AE_mapped.tsv,3.063888,100,trial_2
418,NCT04809974,Lornoxicam,result_trial_data_NCT04809974_CF_Lornoxicam_AE_mapped.tsv,3.066470,100,trial_2
419,NCT04809974,Alitretinoin,result_trial_data_NCT04809974_CF_Alitretinoin_AE_mapped.tsv,3.067614,100,trial_2
420,NCT04809974,Zolpidem,result_trial_data_NCT04809974_CF_Zolpidem_AE_mapped.tsv,3.070504,100,trial_2
421,NCT04809974,Nedocromil,result_trial_data_NCT04809974_CF_Nedocromil_AE_mapped.tsv,3.073602,100,trial_2
422,NCT04809974,Naltrexone,result_trial_data_NCT04809974_CF_Naltrexone_AE_mapped.tsv,3.075074,100,trial_2
423,NCT04809974,Digitoxin,result_trial_data_NCT04809974_CF_Digitoxin_AE_mapped.tsv,3.076300,100,trial_2
424,NCT04809974,Vancomycin,result_trial_data_NCT04809974_CF_Vancomycin_AE_mapped.tsv,3.079448,100,trial_2
425,NCT04809974,Rosuvastatin,result_trial_data_NCT04809974_CF_Rosuvastatin_AE_mapped.tsv,3.080746,100,trial_2
426,NCT04809974,Minoxidil,result_trial_data_NCT04809974_CF_Minoxidil_AE_mapped.tsv,3.080877,100,trial_2
427,NCT04809974,Capsaicin,result_trial_data_NCT04809974_CF_Capsaicin_AE_mapped.tsv,3.084120,100,trial_2
428,NCT04809974,Ethylestrenol,result_trial_data_NCT04809974_CF_Ethylestrenol_AE_mapped.tsv,3.084593,100,trial_2
429,NCT04809974,Etidocaine,result_trial_data_NCT04809974_CF_Etidocaine_AE_mapped.tsv,3.084917,100,trial_2
430,NCT04809974,Clemastine,result_trial_data_NCT04809974_CF_Clemastine_AE_mapped.tsv,3.085555,100,trial_2
431,NCT04809974,Phenoxymethylpenicil,result_trial_data_NCT04809974_CF_Phenoxymethylpenicil_AE_mapped.tsv,3.088602,100,trial_2
432,NCT04809974,Imipenem,result_trial_data_NCT04809974_CF_Imipenem_AE_mapped.tsv,3.089519,100,trial_2
433,NCT04809974,Pyrimethamine,result_trial_data_NCT04809974_CF_Pyrimethamine_AE_mapped.tsv,3.091034,100,trial_2
